"DYAD","PERSON","DAY","sexf","hb","ARGUE","CLOSE","SUP","REAP"
88,88,4,1,0,0,3,3,10
88,88,5,1,0,0,3,0,10
88,88,6,1,0,0,3,2,10
88,88,7,1,1,1,3,2,10
88,588,1,0,0,0,3,0,10
88,588,2,0,0,1,3,0,10
88,588,3,0,0,0,3,1,10
88,588,4,0,-1,0,3,1,10
88,588,5,0,1,0,3,0,9
88,588,6,0,0,1,3,0,10
88,588,7,0,0,1,3,2,10
89,89,1,1,1,0,3,2,10
89,89,2,1,0,0,3,0,10
89,89,3,1,0,0,3,0,10
89,89,4,1,0,1,3,0,10
89,89,5,1,0,1,3,10,10
89,89,6,1,0,0,2,0,10
89,89,7,1,0,0,2,0,10
89,589,1,0,1,0,3,0,10
89,589,2,0,1,0,3,0,10
89,589,3,0,0,0,3,0,10
89,589,4,0,1,1,3,0,10
89,589,5,0,0,1,3,0,10
89,589,6,0,0,0,3,0,10
89,589,7,0,0,0,3,1,10
90,90,1,1,0,0,2,5,5
90,90,2,1,0,0,2,5,5
90,90,3,1,0,0,2,5,5
90,90,4,1,-2,0,2,5,5
90,90,5,1,0,0,2,5,5
90,90,6,1,0,0,2,5,5
90,90,7,1,0,0,2,5,5
90,590,1,0,0,0,2,5,5
90,590,2,0,0,0,2,5,5
90,590,3,0,-1,0,2,5,5
90,590,4,0,3,0,0,5,5
90,590,5,0,0,0,2,5,5
90,590,6,0,0,0,2,5,5
